"","yearNumber","Time","dcCriminalJusticeHUDTx","dcCriminalJusticeOUDTx","dcCriminalJusticeHUD","dcCriminalJusticeOUD","dcCriminalJusticeHUDRemission","dcCriminalJusticeOUDRemission"
"1",0,2021,1066.89,566.49,4209.54,2616.3,551.47,342.74
"2",1,2022,1035.81553398058,549.990291262136,4086.93203883495,2540.09708737864,535.407766990291,332.757281553398
"3",2,2023,1005.64614949571,533.971156565181,3967.8951833349,2466.11367706664,519.813366009992,323.065321896503
"4",3,2024,976.355484947293,518.418598606971,3852.3254207135,2394.28512336567,504.673170883487,313.655652326702
"5",4,2025,947.917946550769,503.319027773759,3740.12176768301,2324.54866346182,489.973952314065,304.520050802623
"6",5,2026,920.308685971621,488.659250265785,3631.18618221651,2256.84336258429,475.702866324335,295.650534759828
"7",6,2027,893.503578613224,474.426456568723,3525.42347788011,2191.11006076144,461.847443033335,287.039354135756
"8",7,2028,867.479202537111,460.608210260896,3422.7412406603,2127.29132112762,448.395575760519,278.678984597821
"9",8,2029,842.212817997195,447.192437146501,3323.04974821388,2065.33137973555,435.335510447106,270.562120968758
"10",9,2030,817.682347570092,434.167414705341,3226.26189146979,2005.17609683063,422.65583538554,262.681670843455
"11",10,2031,793.866356864167,421.521761849846,3132.29309851436,1946.7729095443,410.345471248097,255.030748391704
