"","yearNumber","Time","dqNonDisHerUse","dqRxMisuse","dqRxOUDnoHeroin","dqRxOUDHeroin","dqHUD","dqRxOUDBup","dqRxOUDMMT","dqRxOUDViv","dqRxOUDHeroinBup","dqRxOUDHeroinMMT","dqRxOUDHeroinViv","dqHUDBup","dqHUDMMT","dqHUDViv","dqRxOUDRemission","dqRxOUDStableRemission","dqRxOUDHeroinRemission","dqRxOUDHeroinStableRemission","dqHUDRemission","dqHUDStableRemission","dqGainedSurvival"
"1",0,2021,0.574,0.694,0.626,0.569,0.512,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.807,0.807,0.807,0.807,0.807,0.807,22.64
"2",1,2022,0.557281553398058,0.67378640776699,0.607766990291262,0.552427184466019,0.497087378640777,0.74368932038835,0.74368932038835,0.74368932038835,0.74368932038835,0.74368932038835,0.74368932038835,0.74368932038835,0.74368932038835,0.74368932038835,0.783495145631068,0.783495145631068,0.783495145631068,0.783495145631068,0.783495145631068,0.783495145631068,21.9805825242718
"3",2,2023,0.541050051842775,0.654161560938825,0.59006503911773,0.536337072297106,0.482609105476482,0.722028466396456,0.722028466396456,0.722028466396456,0.722028466396456,0.722028466396456,0.722028466396456,0.722028466396456,0.722028466396456,0.722028466396456,0.76067489867094,0.76067489867094,0.76067489867094,0.76067489867094,0.76067489867094,0.76067489867094,21.3403713827882
"4",3,2024,0.525291312468714,0.635108311591093,0.572878678755078,0.520715604171948,0.468552529588818,0.70099851106452,0.70099851106452,0.70099851106452,0.70099851106452,0.70099851106452,0.70099851106452,0.70099851106452,0.70099851106452,0.70099851106452,0.738519319098,0.738519319098,0.738519319098,0.738519319098,0.738519319098,0.738519319098,20.7188071677555
"5",4,2025,0.509991565503605,0.616610011253488,0.556192891995221,0.505549130264027,0.454905368532833,0.680581078703418,0.680581078703418,0.680581078703418,0.680581078703418,0.680581078703418,0.680581078703418,0.680581078703418,0.680581078703418,0.680581078703418,0.717009047667961,0.717009047667961,0.717009047667961,0.717009047667961,0.717009047667961,0.717009047667961,20.1153467648112
"6",5,2026,0.49513744223651,0.59865049636261,0.539993099024487,0.490824398314589,0.441655697604692,0.66075832883827,0.66075832883827,0.66075832883827,0.66075832883827,0.66075832883827,0.66075832883827,0.66075832883827,0.66075832883827,0.66075832883827,0.69612528899802,0.69612528899802,0.69612528899802,0.69612528899802,0.69612528899802,0.69612528899802,19.5294628784575
"7",6,2027,0.480715963336418,0.581214074138456,0.524265144683968,0.476528542052999,0.428791939422031,0.641512940619679,0.641512940619679,0.641512940619679,0.641512940619679,0.641512940619679,0.641512940619679,0.641512940619679,0.641512940619679,0.641512940619679,0.675849795143709,0.675849795143709,0.675849795143709,0.675849795143709,0.675849795143709,0.675849795143709,18.9606435713179
"8",7,2028,0.466714527511085,0.564285508872287,0.508995286100939,0.462649069954368,0.416302853807797,0.622828097689009,0.622828097689009,0.622828097689009,0.622828097689009,0.622828097689009,0.622828097689009,0.622828097689009,0.622828097689009,0.622828097689009,0.656164849654086,0.656164849654086,0.656164849654086,0.656164849654086,0.656164849654086,0.656164849654086,18.4083918168135
"9",8,2029,0.453120900496199,0.547850008613871,0.494170180680524,0.449173854324629,0.404177527968735,0.604687473484475,0.604687473484475,0.604687473484475,0.604687473484475,0.604687473484475,0.604687473484475,0.604687473484475,0.604687473484475,0.604687473484475,0.637053252091346,0.637053252091346,0.637053252091346,0.637053252091346,0.637053252091346,0.637053252091346,17.8722250648675
"10",9,2030,0.439923204365242,0.531893212246477,0.47977687444711,0.436091120703524,0.392405366959937,0.587075216975218,0.587075216975218,0.587075216975218,0.587075216975218,0.587075216975218,0.587075216975218,0.587075216975218,0.587075216975218,0.587075216975218,0.618498303001307,0.618498303001307,0.618498303001307,0.618498303001307,0.618498303001307,0.618498303001307,17.3516748202597
"11",10,2031,0.42710990715072,0.516401176938327,0.46580279072535,0.423389437576236,0.380976084427123,0.569975938810891,0.569975938810891,0.569975938810891,0.569975938810891,0.569975938810891,0.569975938810891,0.569975938810891,0.569975938810891,0.569975938810891,0.600483789321657,0.600483789321657,0.600483789321657,0.600483789321657,0.600483789321657,0.600483789321657,16.8462862332619
